MaxFeature,Criterion,AdaboostParam,ForestParam,Mean,Std,ElapsedSeconds,cv
auto,gini,3,75,0.948075,0.000471,159.6,5
auto,gini,3,80,0.947815,0.000721,314.7,5
auto,gini,3,85,0.947752,0.000601,496.9,5
auto,gini,4,75,0.947886,0.000696,690.3,5
auto,gini,4,80,0.947728,0.000627,894.7,5
auto,gini,4,85,0.947862,0.000353,1115.6,5
auto,gini,5,75,0.947610,0.000552,1353.6,5
auto,entr,3,75,0.947910,0.000501,187.4,5
log2,gini,3,75,0.947578,0.000506,124.6,5
log2,gini,3,80,0.947563,0.000544,249.8,5
log2,gini,3,85,0.947326,0.000490,383.4,5
log2,gini,4,75,0.947263,0.000598,542.0,5
auto,entr,3,60,0.948209,0.000762,149.7,5
auto,entr,3,65,0.948509,0.000736,304.8,5
auto,entr,3,70,0.948004,0.000722,480.4,5
auto,entr,3,75,0.948162,0.000672,669.6,5
auto,entr,3,80,0.948264,0.000529,872.0,5
auto,entr,4,60,0.948044,0.000551,1068.9,5
auto,entr,4,65,0.947941,0.000747,1283.7,5
auto,gini,3,60,0.948059,0.000373,152.3,5
auto,gini,3,65,0.948256,0.000505,309.3,5
auto,gini,3,70,0.948067,0.000627,477.8,5
auto,gini,3,75,0.947894,0.000425,660.5,5
auto,gini,4,60,0.947681,0.000712,195.8
auto,gini,4,65,0.947523,0.000455,403.8
auto,gini,4,70,0.947436,0.000392,629.0

auto,gini,3,65,0.948911,0.001579,366.7,10
auto,gini,3,70,0.949352,0.001392,716.8,10
auto,gini,3,75,0.949100,0.001410,1094.1,10
auto,gini,3,80,0.949187,0.001860,1499.0,10
auto,gini,4,65,0.949053,0.001659,1931.1,10
auto,gini,4,70,0.948990,0.002018,2387.6,10
auto,gini,4,75,0.949155,0.001591,2873.8,10
auto,gini,4,80,0.948903,0.001415,3381.1,10